Account UUID,Account Label,Subscription Status,Admin Seats,User Seats,Read Only Seats,Total Records,Automation Count,Workflow Title,Messages Processed,Notifications Sent,Notifications Billed
c1a8f4d2-9b34-4f2a-bb12-8d91c7c1a901,Atlas Systems,active,2,6,1,18450,4,Lead Sync,320500,1240,1180
f92d7b11-44a2-41f9-9f1e-5bcb18c6d203,Northshore Digital,inactive,1,0,0,0,0,,0,0,0
8e3d21fa-0e4d-4c2e-9e88-1d72bcbf9a14,Cloudline Ops,active,3,12,4,62310,7,Q3 Outreach,1840220,4980,4750
2d9f51bc-7c89-4b18-ae3c-7f1e24a1b908,Pixel & Co,active,1,3,0,9875,2,Onboarding Flow,78600,310,300
4b1e92d0-2c63-45fa-8c71-9d0a88d63c77,Ironclad Services,inactive,0,0,0,0,0,,0,0,0
a7f3c2e8-1c44-4d9b-9e1f-0b9f42e3b1e5,Harbor Analytics,active,2,9,2,41002,5,Client Nurture,560900,2120,2040
e6c91b4a-0a6f-4a2d-92c1-6f4a2c7c8e12,Vertex Platforms,active,1,5,1,23780,3,Product Update,210450,890,860
9d12fa88-6e8b-4f97-b3ad-4e3c2a1d77aa,Blue Oak Software,active,4,15,5,88940,9,Annual Campaign,3420000,7800,7550
b0a6e4f9-8c72-4b3a-9d21-2a91c6e5f812,Signal Ridge,inactive,1,1,0,1120,1,Test Run,5400,12,12
3f7d2a6c-91e2-4c4b-b2f7-8c3a1e9d6f44,MotionStack,active,2,7,1,36515,6,Reactivation,410300,1670,1590
